increasing;value
1;VAL1
2;VAL2
3;VAL3
4;VAL4
5;VAL5
6;VAL6
7;VAL7
8;VAL8
9;VAL9
10;VAL10
11;VAL11
12;VAL12
13;VAL13
14;VAL14
15;VAL15
16;VAL16
17;VAL17
18;VAL18
19;VAL19
20;VAL20
21;VAL21
22;VAL22
23;VAL23
24;VAL24
25;VAL25
26;VAL26
27;VAL27
28;VAL28
29;VAL29
30;VAL30
31;VAL31
32;VAL32
33;VAL33
34;VAL34
35;VAL35
36;VAL36
37;VAL37
38;VAL38
39;VAL39
40;VAL40
41;VAL41
42;VAL42
43;VAL43
44;VAL44
45;VAL45
46;VAL46
47;VAL47
48;VAL48
49;VAL49
50;VAL50
51;VAL51
52;VAL52
53;VAL53
54;VAL54
55;VAL55
56;VAL56
57;VAL57
58;VAL58
59;VAL59
60;VAL60
61;VAL61
62;VAL62
63;VAL63
64;VAL64
65;VAL65
66;VAL66
67;VAL67
68;VAL68
69;VAL69
70;VAL70
71;VAL71
72;VAL72
73;VAL73
74;VAL74
75;VAL75
76;VAL76
77;VAL77
78;VAL78
79;VAL79
80;VAL80
81;VAL81
82;VAL82
83;VAL83
84;VAL84
85;VAL85
86;VAL86
87;VAL87
88;VAL88
89;VAL89
90;VAL90
91;VAL91
92;VAL92
93;VAL93
94;VAL94
95;VAL95
96;VAL96
97;VAL97
98;VAL98
99;VAL99
100;VAL100
